author id,created_at,geo,tweet_id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,username,name,account_description,account_created_at,verified,followers_count,following_count,tweet_count,listed_count
3291077331,2016-01-01 23:57:57+00:00, ,683074714227617792,en,0,0,0,0,IFTTT,RT World risks 'taking its eye off the ball on climate change after Paris deal'     https://t.co/gWQXl8CKB0,ClimateRetweet,Climate retweet,Auto retweet of climate change posts on Twitter. All tweets from climate change RSS feed.,2015-05-20T10:47:00.000Z,False,2627,11,422477,458
3291077331,2016-01-01 23:57:57+00:00, ,683074713090953216,en,0,0,0,0,IFTTT,"RT COP21: Climate change deal obscures problems, says Friends of the Earth head - The Independent  https://t.co/MLqiX2DSkT",ClimateRetweet,Climate retweet,Auto retweet of climate change posts on Twitter. All tweets from climate change RSS feed.,2015-05-20T10:47:00.000Z,False,2627,11,422477,458
3291077331,2016-01-01 23:57:56+00:00, ,683074711933300736,en,1,0,0,0,IFTTT,"RT COP21: Climate change deal obscures problems, says Friends of the Earth head - The Independent  https://t.co/g03IS3A72x",ClimateRetweet,Climate retweet,Auto retweet of climate change posts on Twitter. All tweets from climate change RSS feed.,2015-05-20T10:47:00.000Z,False,2627,11,422477,458
2444406320,2016-01-01 23:57:56+00:00, ,683074711652298752,en,0,0,0,11,Twitter for iPad,RT @Kathleen_Wynne: We’re working to protect our planet to build an even better future for Ontario. #ONclimate #climatechange https://t.co/…,DaieneVernile,Daiene Vernile,,2014-04-14T19:55:28.000Z,False,3517,1183,5172,0
19873129,2016-01-01 23:57:55+00:00, ,683074708078768128,en,0,0,2,0,Twitter Web Client,"Forget about ISIS, the climate change is the biggest threat. Earth is in peril. Miami may be underwater by 2100 https://t.co/mUuXLGxtOW",dondoroci,Don,Inquisitive | Bookworm | Jogger | Photochemist: https://t.co/mqtXdVI90l | Instagram: dondoroci,2009-02-01T19:50:11.000Z,False,622,552,3634,5
2274150936,2016-01-01 23:57:48+00:00, ,683074675845378048,en,0,0,0,0,Twitter Web Client,@zheida then again i didnt kno they were implicating that climate change is destroying seals so maybe they didn't succeed ADSHG,hellaaa,ciil 🎣📸,heyo im ciil your friendly neighbourhood harp seal! i like to talk a lot and draw sometimes 🌱 CC:https://t.co/8Rdd4rYjBM,2014-01-03T07:46:59.000Z,False,6184,820,122322,35
172531387,2016-01-01 23:57:47+00:00, ,683074674117316609,en,0,0,0,0,Twitter Web Client,Pick of 2015 Companies behaving badly https://t.co/BMf5bGHQ6H https://t.co/OoZOTT83OT,punchumgum,punchumgum🐾,"I don't use any auto-follow apps so if you want me to follow you back you'll have to tell me you're human.
If I RT you it doesn't mean we're dating.",2010-07-29T23:15:14.000Z,False,1249,376,220088,0
52230962,2016-01-01 23:57:45+00:00,0570f015c264cbd9,683074665946976256,en,2,0,0,0,Twitter for Android,#GlobalWarming is a serious problem that Republican pols resist taking steps to ameliorate. https://t.co/CgvtajqaXz,PoliticalAnt,PoliticalAnt🐜(a.k.a. @JazzLuvnAnt🎷)🔥😷🌹🇺🇸,Pro-Democacy Independent Democratic Socialist.🌹 #BlackLivesMatter #NotMeUs🐦#NoJusticeNoUnity✊🏽 #GetVaccinated💉#DemocracyInDanger⚠ #ReparationsNow⛓#WearAMask,2009-06-29T23:38:35.000Z,False,15243,8911,477451,435
3613992135,2016-01-01 23:57:44+00:00, ,683074658648895488,en,0,0,0,0,Twitter for iPhone,#weirdnews #climatechange #ElNino   North Pole...warmer than much of the  Midwest https://t.co/hlKKaM3xIv,steve_zeke,Steven Zekowski,"Progressive, physician, music lover, curious guy. Learning to code late in life. So far #Python is my fave. #SinglePayer #climatechange #MMT #RankedChoiceVoting",2015-09-10T22:32:20.000Z,False,189,405,7688,20
2613614706,2016-01-01 23:57:41+00:00, ,683074648582537216,en,0,0,0,12,Twitter Web Client,RT @insideclimate: Guardian on 5 corporate scandals that defined 2015. On its list: Our revelations about what #ExxonKnew on climate https:…,beat__the__heat,backhome,,2014-07-09T14:18:05.000Z,False,209,39,13821,0
597768168,2016-01-01 23:57:41+00:00, ,683074647492038656,en,0,0,0,159,Twitter for Android,RT @BadAstronomer: Still believe in global warming? Today was the coldest day in 2016! #VoteCruz,v1ba,v1ba,Re-tweets are NOT endorsements.,2012-06-02T19:39:58.000Z,False,195,2034,46183,0
221606867,2016-01-01 23:57:32+00:00, ,683074610925940736,en,0,0,0,0,dlvr.it,Record flooding in UK: Latest symptom of El Nino and climate change? - Stars and Stripes https://t.co/67RbbBdD1b,WarmingWorld,Warming World,We talk about Global warming and its consequences,2010-12-01T03:09:59.000Z,False,7196,9599,30641,23
25393191,2016-01-01 23:57:24+00:00, ,683074576167735297,en,1,0,0,0,Twitter Web Client,Big Oil braced for global warming while it fought regulations https://t.co/QXWUm779VU,dgendvil,Derek Gendvil,client for Circles Magazine,2009-03-19T21:48:31.000Z,False,3890,5004,947458,261
2771248403,2016-01-01 23:57:18+00:00, ,683074552855920640,en,0,0,0,845,Twitter for Android,"RT @environmentont: Ontario’s #ClimateChange Strategy supports a healthy, clean &amp; low-carbon future https://t.co/jJv7JLm2tz  #ONClimate
htt…",MDeMelo_RD,Margaret De Melo,"Registered Dietitian, leader in chronic disease self-management, interest in diabetes, quality improvement & patient safety.  Opinions own.",2014-09-15T16:10:31.000Z,False,97,326,1290,2
1046763757,2016-01-01 23:57:16+00:00, ,683074542785310720,en,0,0,0,0,Twitter for iPad,New world order promoted by UN climate change claims. Aus. Advisor.  https://t.co/LxxACB5iPO,dunvirkin,William Taylor,Semi-retired sheep and beef farmer. Developing elite Alpaca Stud,2012-12-30T04:00:40.000Z,False,4004,4959,176083,108
